sa2_code_2021,sa1_code_2021,name of area,precinct_name,precinct,precinct_type
206041117,,Carlton,Carlton,Established,Neighbourhoods
206041119,,East Melbourne,East Melbourne and Jolimont,Established,Neighbourhoods
206041121,,Kensington (Vic.),Kensington,Established,Neighbourhoods
206041125,,South Yarra - West,South Yarra,Established,Neighbourhoods
206041506,,North Melbourne,North Melbourne,Established,Neighbourhoods
206071140,,Carlton North - Princes Hill,Carlton,Established,Neighbourhoods
206041118,,Docklands,Dockalnds,Evolving,Central city
206041508,,Southbank (West) - South Wharf,Southbank,Evolving,Central city
206041509,,Southbank - East,Southbank,Evolving,Central city
206041503,,Melbourne CBD - East,Hoddle Grid,Hoddle Grid,Central city
206041504,,Melbourne CBD - North,Hoddle Grid,Hoddle Grid,Central city
206041505,,Melbourne CBD - West,Hoddle Grid,Hoddle Grid,Central city
206041120,,Flemington Racecourse,Other,Other,Other
206041507,,Royal Botanic Gardens Victoria,Other,Other,Other
206051511,,Port Melbourne Industrial,Other,Other,Other
206041124,,Parkville,CBD North,Transitioning,Neighbourhoods
206041127,,West Melbourne - Industrial,West Melbourne,Transitioning,Neighbourhoods
206041510,,West Melbourne - Residential,West Melbourne,Transitioning,Neighbourhoods
,20605151104,,Fisherman's bend,Existing,Renewal
,20604150608,,Macaulay,Existing,Renewal
,20604150632,,Arden,Existing,Renewal
,20604150628,,Arden,Existing,Renewal
,20604112103,,Macaulay,Existing,Renewal
,20605151103,,Lorimer,Existing,Renewal
,20604112702,,"Egate, Dynon",Potential,Renewal